DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2019,126,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2020,125,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2021,123,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2022,125,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2019,118,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2020,119,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2021,120,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2022,120,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2019,53,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2020,55,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2021,57,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2022,59,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2019,153,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2020,154,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2021,155,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2022,154,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2019,93,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2020,90,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2021,91,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2022,92,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2019,93,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2020,93,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2021,92,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2022,91,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2019,121,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2020,123,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2021,120,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2022,117,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2019,126,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2020,133,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2021,133,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2022,137,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2019,82,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2020,86,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2021,89,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2022,87,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2019,91,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2020,83,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2021,83,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2022,85,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2019,109,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2020,114,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2021,112,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2022,109,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FR,2019,106,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FR,2020,105,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FR,2021,104,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FR,2022,102,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HR,2019,67,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HR,2020,65,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HR,2021,70,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HR,2022,73,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HU,2019,73,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HU,2020,74,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HU,2021,75,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HU,2022,77,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IE,2019,189,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IE,2020,205,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IE,2021,218,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IE,2022,233,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IS,2019,126,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IS,2020,118,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IS,2021,119,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IS,2022,128,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IT,2019,97,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IT,2020,94,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IT,2021,95,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IT,2022,96,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LT,2019,84,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LT,2020,88,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LT,2021,89,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LT,2022,89,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LU,2019,251,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LU,2020,261,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LU,2021,268,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LU,2022,261,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LV,2019,69,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LV,2020,72,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LV,2021,72,
ESTAT:TEC00114(1.0),21/06/23 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LV,2022,74,
