DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-01,9297,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-02,9400,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-03,10827,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-04,10240,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-05,10877,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-06,11623,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-07,12054,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-08,11449,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-09,12176,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-10,13162,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-11,13036,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2002-12,11909,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-01,10641,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-02,10665,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-03,13051,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-04,11303,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-05,11303,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-06,11487,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-07,11840,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-08,11037,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-09,11836,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-10,13742,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-11,14830,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2003-12,14548,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2004-01,12013,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2004-02,13410,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2004-03,16359,
ESTAT:AVIA_GOOC(1.0),16/10/23 11:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2004-04,15350,
