DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-01,2295605,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-02,2362496,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-03,2884515,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-04,2993159,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-05,3050436,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-06,3332670,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-07,3523579,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-08,3529949,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-09,3320406,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-10,3108277,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-11,2601383,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2019-12,2809314,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-01,2566227,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-02,2538497,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-03,1008837,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-04,12978,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-05,21487,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-06,141721,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-07,614429,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-08,857929,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-09,607284,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-10,407374,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-11,186100,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2020-12,236402,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-01,205768,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-02,163091,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-03,221255,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-04,276338,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-05,408858,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-06,761455,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-07,1597590,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,AT,2021-08,1932074,
