DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-01,22302.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-02,20406.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-03,25965.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-04,25910.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-05,24700.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-06,23749,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-07,24163,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-08,24125.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-09,24621.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-10,27366.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-11,27612.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2019-12,24825.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-01,21514.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-02,20713,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-03,21629.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-04,14647.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-05,17351,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-06,15359.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-07,18176.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-08,16656.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-09,19108.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-10,20270.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-11,20031.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2020-12,19272.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-01,18125.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-02,16828.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-03,22353.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-04,24306.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-05,22770.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-06,20930.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-07,22549.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-08,20570.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-09,21974.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-10,23973.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-11,22774.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2021-12,23723.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-01,21970.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-02,17774.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-03,22239.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-04,20942.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-05,20026.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-06,19897.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-07,20603.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-08,20287.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-09,21504.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-10,23385.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-11,22761.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2022-12,21930.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-01,19513.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-02,18684.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,AT,2023-03,23342.4,
