DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2010-Q1,65683.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2010-Q2,73557.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2010-Q3,67164.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2010-Q4,72240.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2011-Q1,69209.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2011-Q2,67961.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2011-Q3,60724.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2011-Q4,64277.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2012-Q1,60652,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2012-Q2,63226.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2012-Q3,56285.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2012-Q4,62278.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2013-Q1,58358.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2013-Q2,60350.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2013-Q3,59546.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2013-Q4,68805.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2014-Q1,64683.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2014-Q2,71449.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2014-Q3,69888.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2014-Q4,78471.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2015-Q1,64977.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2015-Q2,69676.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2015-Q3,70235.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2015-Q4,71688.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2016-Q1,60809.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2016-Q2,68618.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2016-Q3,68669.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2016-Q4,70705.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2017-Q1,63149.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2017-Q2,68257.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2017-Q3,70923.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2017-Q4,68602.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2018-Q1,65013.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2018-Q2,71853.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2018-Q3,71706.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2018-Q4,75481.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2019-Q1,68674.8,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2019-Q2,74359.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2019-Q3,72910.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2019-Q4,79804.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q1,63856.3,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q2,47357.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q3,53941.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2020-Q4,59574.4,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q1,57306.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q2,68007.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q3,65094.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2021-Q4,70471.1,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q1,61983.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q2,60865.7,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q3,62395.5,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,AT,2022-Q4,68077.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q1,905.2,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q2,2088.9,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q3,5782.6,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BA,2021-Q4,2742,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q1,294417,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q2,266424,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q3,263201,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2010-Q4,294242,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q1,295102,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q2,286444,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q3,275247,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2011-Q4,301554,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q1,284743,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q2,276575,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q3,254742,
ESTAT:AVIA_GOOC(1.0),11/10/23 23:00:00,Q,T,FRM_BRD,TOT,TOTAL,BE,2012-Q4,252354,
